event_frame,last_seen_frame,missing_id,last_xmin,last_ymin,last_xmax,last_ymax,expanded_xmin,expanded_ymin,expanded_xmax,expanded_ymax,width,height,recovered_team,recovered_score,raw_frame_path,annotated_frame_path
187,186,26,811,15,831,71,801,0,841,99,20,56,white team,0.212121,debug_v2/missing_ids/raw_frames/frame_000187_missing_26.jpg,debug_v2/missing_ids/annotated_frames/frame_000187_missing_26.jpg
188,187,27,305,22,324,65,296,0,334,86,19,43,white team,0.288556,debug_v2/missing_ids/raw_frames/frame_000188_missing_27.jpg,debug_v2/missing_ids/annotated_frames/frame_000188_missing_27.jpg
189,188,17,1310,738,1377,832,1276,691,1410,879,67,94,red team,0.034892,debug_v2/missing_ids/raw_frames/frame_000189_missing_17.jpg,debug_v2/missing_ids/annotated_frames/frame_000189_missing_17.jpg
196,195,25,1805,0,1823,30,1796,0,1832,45,18,30,red team,0.311111,debug_v2/missing_ids/raw_frames/frame_000196_missing_25.jpg,debug_v2/missing_ids/annotated_frames/frame_000196_missing_25.jpg
200,199,24,1357,0,1375,35,1348,0,1384,52,18,35,red team,0.378205,debug_v2/missing_ids/raw_frames/frame_000200_missing_24.jpg,debug_v2/missing_ids/annotated_frames/frame_000200_missing_24.jpg
219,218,15,814,387,842,465,800,348,856,504,28,78,red team,0.054602,debug_v2/missing_ids/raw_frames/frame_000219_missing_15.jpg,debug_v2/missing_ids/annotated_frames/frame_000219_missing_15.jpg
222,221,29,918,0,936,36,909,0,945,54,18,36,white team,0.188272,debug_v2/missing_ids/raw_frames/frame_000222_missing_29.jpg,debug_v2/missing_ids/annotated_frames/frame_000222_missing_29.jpg
224,223,7,803,388,857,481,776,342,884,528,54,93,white team,0.026235,debug_v2/missing_ids/raw_frames/frame_000224_missing_7.jpg,debug_v2/missing_ids/annotated_frames/frame_000224_missing_7.jpg
232,231,32,464,0,481,33,456,0,490,50,17,33,red team,0.177647,debug_v2/missing_ids/raw_frames/frame_000232_missing_32.jpg,debug_v2/missing_ids/annotated_frames/frame_000232_missing_32.jpg
247,246,24,1366,7,1383,51,1358,0,1392,73,17,44,red team,0.195810,debug_v2/missing_ids/raw_frames/frame_000247_missing_24.jpg,debug_v2/missing_ids/annotated_frames/frame_000247_missing_24.jpg
249,248,24,1348,20,1364,61,1340,0,1372,82,16,41,red team,0.167683,debug_v2/missing_ids/raw_frames/frame_000249_missing_24-30.jpg,debug_v2/missing_ids/annotated_frames/frame_000249_missing_24-30.jpg
249,248,30,1477,1047,1519,1079,1456,1031,1540,1079,42,32,unknown,0.000000,debug_v2/missing_ids/raw_frames/frame_000249_missing_24-30.jpg,debug_v2/missing_ids/annotated_frames/frame_000249_missing_24-30.jpg
264,263,7,968,449,1011,540,946,404,1032,586,43,91,red team,0.035331,debug_v2/missing_ids/raw_frames/frame_000264_missing_7-24.jpg,debug_v2/missing_ids/annotated_frames/frame_000264_missing_7-24.jpg
264,263,24,1293,41,1312,86,1284,18,1322,108,19,45,red team,0.227485,debug_v2/missing_ids/raw_frames/frame_000264_missing_7-24.jpg,debug_v2/missing_ids/annotated_frames/frame_000264_missing_7-24.jpg
265,264,31,0,676,34,772,0,628,51,820,34,96,red team,0.061172,debug_v2/missing_ids/raw_frames/frame_000265_missing_31.jpg,debug_v2/missing_ids/annotated_frames/frame_000265_missing_31.jpg
280,279,33,0,637,21,730,0,590,32,776,21,93,unknown,0.000000,debug_v2/missing_ids/raw_frames/frame_000280_missing_33.jpg,debug_v2/missing_ids/annotated_frames/frame_000280_missing_33.jpg
291,290,13,0,502,19,556,0,475,28,583,19,54,unknown,0.000000,debug_v2/missing_ids/raw_frames/frame_000291_missing_13.jpg,debug_v2/missing_ids/annotated_frames/frame_000291_missing_13.jpg
301,300,23,101,75,137,126,83,50,155,152,36,51,red team,0.151416,debug_v2/missing_ids/raw_frames/frame_000301_missing_23-28.jpg,debug_v2/missing_ids/annotated_frames/frame_000301_missing_23-28.jpg
301,300,28,0,473,17,520,0,450,26,544,17,47,unknown,0.000000,debug_v2/missing_ids/raw_frames/frame_000301_missing_23-28.jpg,debug_v2/missing_ids/annotated_frames/frame_000301_missing_23-28.jpg
